排序组,舆情场景,场景代码,方法,参数名,参数值,干预概率,重复次数,初始极化率,无干预最终极化率,干预后最终极化率,极化率降低量,观点均值_初始,观点均值_无干预,观点均值_干预后,观点标准差_初始,观点标准差_无干预,观点标准差_干预后,干预接受率
HotRank,激烈骂战(U型),polarization,suppression,Gamma,2.0,0.1,10,59.0%,84.6%,46.6%,38.0%,0.5077,0.4783,0.4467,0.3538,0.3635,0.2793,42.9%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,2.0,0.2,10,59.0%,84.6%,29.6%,55.0%,0.5077,0.4783,0.4750,0.3538,0.3635,0.2381,49.5%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,2.0,0.3,10,59.0%,84.6%,28.6%,56.0%,0.5077,0.4783,0.4871,0.3538,0.3635,0.2275,52.5%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,2.0,0.4,10,59.0%,84.6%,25.2%,59.4%,0.5077,0.4783,0.4960,0.3538,0.3635,0.2122,55.7%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,2.0,0.5,10,59.0%,84.6%,23.6%,61.0%,0.5077,0.4783,0.5012,0.3538,0.3635,0.2042,58.1%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,2.0,0.6,10,59.0%,84.6%,22.2%,62.4%,0.5077,0.4783,0.5019,0.3538,0.3635,0.1975,59.7%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,2.0,0.7,10,59.0%,84.6%,18.2%,66.4%,0.5077,0.4783,0.4977,0.3538,0.3635,0.1857,61.7%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,2.0,0.8,10,59.0%,84.6%,17.6%,67.0%,0.5077,0.4783,0.4923,0.3538,0.3635,0.1804,63.1%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,2.0,0.9,10,59.0%,84.6%,17.2%,67.4%,0.5077,0.4783,0.4942,0.3538,0.3635,0.1814,63.8%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,10,0.1,10,84.2%,92.0%,76.8%,15.2%,0.9070,0.8308,0.6892,0.1063,0.2063,0.2909,38.9%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,10,0.2,10,84.2%,92.0%,69.2%,22.8%,0.9070,0.8308,0.6143,0.1063,0.2063,0.3060,39.0%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,10,0.3,10,84.2%,92.0%,60.4%,31.6%,0.9070,0.8308,0.5656,0.1063,0.2063,0.3071,41.0%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,10,0.4,10,84.2%,92.0%,46.6%,45.4%,0.9070,0.8308,0.5370,0.1063,0.2063,0.2879,43.9%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,10,0.5,10,84.2%,92.0%,40.4%,51.6%,0.9070,0.8308,0.5167,0.1063,0.2063,0.2758,45.1%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,10,0.6,10,84.2%,92.0%,26.4%,65.6%,0.9070,0.8308,0.5229,0.1063,0.2063,0.2418,47.1%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,10,0.7,10,84.2%,92.0%,21.2%,70.8%,0.9070,0.8308,0.5436,0.1063,0.2063,0.2254,48.8%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,10,0.8,10,84.2%,92.0%,18.0%,74.0%,0.9070,0.8308,0.5482,0.1063,0.2063,0.2110,49.8%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,10,0.9,10,84.2%,92.0%,18.0%,74.0%,0.9070,0.8308,0.5686,0.1063,0.2063,0.1972,50.2%
