排序组,舆情场景,场景代码,方法,参数名,参数值,干预概率,重复次数,初始极化率,无干预最终极化率,干预后最终极化率,极化率降低量,观点均值_初始,观点均值_无干预,观点均值_干预后,观点标准差_初始,观点标准差_无干预,观点标准差_干预后,干预接受率
HotRank,全网黑(反J型),blackout,suppression,Gamma,1.0,0.3,10,84.8%,88.6%,26.0%,62.6%,0.0923,0.1526,0.3521,0.1060,0.1174,0.1666,54.9%
HotRank,全网黑(反J型),blackout,suppression,Gamma,1.0,0.4,10,84.8%,88.6%,24.4%,64.2%,0.0923,0.1526,0.3567,0.1060,0.1174,0.1617,57.3%
HotRank,全网黑(反J型),blackout,suppression,Gamma,1.0,0.5,10,84.8%,88.6%,21.0%,67.6%,0.0923,0.1526,0.3757,0.1060,0.1174,0.1593,60.2%
HotRank,全网黑(反J型),blackout,suppression,Gamma,1.0,0.6,10,84.8%,88.6%,19.2%,69.4%,0.0923,0.1526,0.3879,0.1060,0.1174,0.1566,62.4%
HotRank,全网黑(反J型),blackout,suppression,Gamma,1.0,0.7,10,84.8%,88.6%,17.4%,71.2%,0.0923,0.1526,0.3914,0.1060,0.1174,0.1530,63.6%
HotRank,全网黑(反J型),blackout,suppression,Gamma,1.0,0.8,10,84.8%,88.6%,17.4%,71.2%,0.0923,0.1526,0.3948,0.1060,0.1174,0.1566,63.9%
HotRank,全网黑(反J型),blackout,suppression,Gamma,1.0,0.9,10,84.8%,88.6%,17.8%,70.8%,0.0923,0.1526,0.3887,0.1060,0.1174,0.1617,64.3%
HotRank,全网黑(反J型),blackout,suppression,Gamma,2.0,0.1,10,84.8%,88.6%,51.0%,37.6%,0.0923,0.1526,0.2722,0.1060,0.1174,0.1900,42.8%
HotRank,全网黑(反J型),blackout,suppression,Gamma,2.0,0.2,10,84.8%,88.6%,34.4%,54.2%,0.0923,0.1526,0.3176,0.1060,0.1174,0.1729,50.5%
HotRank,全网黑(反J型),blackout,suppression,Gamma,2.0,0.3,10,84.8%,88.6%,30.0%,58.6%,0.0923,0.1526,0.3378,0.1060,0.1174,0.1694,53.5%
HotRank,全网黑(反J型),blackout,suppression,Gamma,2.0,0.4,10,84.8%,88.6%,26.6%,62.0%,0.0923,0.1526,0.3552,0.1060,0.1174,0.1671,57.0%
HotRank,全网黑(反J型),blackout,suppression,Gamma,2.0,0.5,10,84.8%,88.6%,23.2%,65.4%,0.0923,0.1526,0.3786,0.1060,0.1174,0.1651,59.5%
HotRank,全网黑(反J型),blackout,suppression,Gamma,2.0,0.6,10,84.8%,88.6%,23.2%,65.4%,0.0923,0.1526,0.3786,0.1060,0.1174,0.1652,60.4%
HotRank,全网黑(反J型),blackout,suppression,Gamma,2.0,0.7,10,84.8%,88.6%,20.4%,68.2%,0.0923,0.1526,0.3861,0.1060,0.1174,0.1602,62.1%
HotRank,全网黑(反J型),blackout,suppression,Gamma,2.0,0.8,10,84.8%,88.6%,18.6%,70.0%,0.0923,0.1526,0.3905,0.1060,0.1174,0.1538,63.7%
HotRank,全网黑(反J型),blackout,suppression,Gamma,2.0,0.9,10,84.8%,88.6%,16.8%,71.8%,0.0923,0.1526,0.3931,0.1060,0.1174,0.1567,64.0%
HotRank,普遍好评,positive_bias,scarcity,K,10,0.1,10,29.0%,73.0%,59.4%,13.6%,0.6790,0.6354,0.5424,0.1721,0.3142,0.2999,37.7%
HotRank,普遍好评,positive_bias,scarcity,K,10,0.2,10,29.0%,73.0%,50.2%,22.8%,0.6790,0.6354,0.4953,0.1721,0.3142,0.2824,40.5%
HotRank,普遍好评,positive_bias,scarcity,K,10,0.3,10,29.0%,73.0%,45.2%,27.8%,0.6790,0.6354,0.4473,0.1721,0.3142,0.2726,42.6%
HotRank,普遍好评,positive_bias,scarcity,K,10,0.4,10,29.0%,73.0%,30.4%,42.6%,0.6790,0.6354,0.4351,0.1721,0.3142,0.2352,46.9%
HotRank,普遍好评,positive_bias,scarcity,K,10,0.5,10,29.0%,73.0%,22.4%,50.6%,0.6790,0.6354,0.4436,0.1721,0.3142,0.2222,47.8%
HotRank,普遍好评,positive_bias,scarcity,K,10,0.6,10,29.0%,73.0%,12.4%,60.6%,0.6790,0.6354,0.4470,0.1721,0.3142,0.1901,50.3%
HotRank,普遍好评,positive_bias,scarcity,K,10,0.7,10,29.0%,73.0%,7.2%,65.8%,0.6790,0.6354,0.4787,0.1721,0.3142,0.1717,51.9%
HotRank,普遍好评,positive_bias,scarcity,K,10,0.8,10,29.0%,73.0%,6.0%,67.0%,0.6790,0.6354,0.4930,0.1721,0.3142,0.1588,52.9%
HotRank,普遍好评,positive_bias,scarcity,K,10,0.9,10,29.0%,73.0%,4.8%,68.2%,0.6790,0.6354,0.5120,0.1721,0.3142,0.1499,53.4%
HotRank,普遍好评,positive_bias,scarcity,K,20,0.1,10,29.0%,73.0%,62.2%,10.8%,0.6790,0.6354,0.5668,0.1721,0.3142,0.2983,38.5%
HotRank,普遍好评,positive_bias,scarcity,K,20,0.2,10,29.0%,73.0%,55.8%,17.2%,0.6790,0.6354,0.5151,0.1721,0.3142,0.2901,39.2%
HotRank,普遍好评,positive_bias,scarcity,K,20,0.3,10,29.0%,73.0%,47.0%,26.0%,0.6790,0.6354,0.4672,0.1721,0.3142,0.2757,41.7%
HotRank,普遍好评,positive_bias,scarcity,K,20,0.4,10,29.0%,73.0%,44.8%,28.2%,0.6790,0.6354,0.4591,0.1721,0.3142,0.2689,43.5%
HotRank,普遍好评,positive_bias,scarcity,K,20,0.5,10,29.0%,73.0%,30.2%,42.8%,0.6790,0.6354,0.4565,0.1721,0.3142,0.2375,45.5%
HotRank,普遍好评,positive_bias,scarcity,K,20,0.6,10,29.0%,73.0%,25.2%,47.8%,0.6790,0.6354,0.4474,0.1721,0.3142,0.2247,46.9%
HotRank,普遍好评,positive_bias,scarcity,K,20,0.7,10,29.0%,73.0%,16.4%,56.6%,0.6790,0.6354,0.4638,0.1721,0.3142,0.2034,48.4%
HotRank,普遍好评,positive_bias,scarcity,K,20,0.8,10,29.0%,73.0%,10.4%,62.6%,0.6790,0.6354,0.4693,0.1721,0.3142,0.1844,49.6%
HotRank,普遍好评,positive_bias,scarcity,K,20,0.9,10,29.0%,73.0%,11.0%,62.0%,0.6790,0.6354,0.4654,0.1721,0.3142,0.1892,49.0%
HotRank,普遍好评,positive_bias,scarcity,K,30,0.1,10,29.0%,73.0%,68.0%,5.0%,0.6790,0.6354,0.5950,0.1721,0.3142,0.3040,38.8%
HotRank,普遍好评,positive_bias,scarcity,K,30,0.2,10,29.0%,73.0%,58.6%,14.4%,0.6790,0.6354,0.5549,0.1721,0.3142,0.2962,38.6%
HotRank,普遍好评,positive_bias,scarcity,K,30,0.3,10,29.0%,73.0%,55.0%,18.0%,0.6790,0.6354,0.5201,0.1721,0.3142,0.2907,39.5%
HotRank,普遍好评,positive_bias,scarcity,K,30,0.4,10,29.0%,73.0%,50.6%,22.4%,0.6790,0.6354,0.4997,0.1721,0.3142,0.2848,40.8%
HotRank,普遍好评,positive_bias,scarcity,K,30,0.5,10,29.0%,73.0%,42.6%,30.4%,0.6790,0.6354,0.4616,0.1721,0.3142,0.2640,43.1%
HotRank,普遍好评,positive_bias,scarcity,K,30,0.6,10,29.0%,73.0%,36.8%,36.2%,0.6790,0.6354,0.4468,0.1721,0.3142,0.2493,44.5%
HotRank,普遍好评,positive_bias,scarcity,K,30,0.7,10,29.0%,73.0%,27.4%,45.6%,0.6790,0.6354,0.4476,0.1721,0.3142,0.2312,46.4%
HotRank,普遍好评,positive_bias,scarcity,K,30,0.8,10,29.0%,73.0%,22.8%,50.2%,0.6790,0.6354,0.4540,0.1721,0.3142,0.2191,47.7%
HotRank,普遍好评,positive_bias,scarcity,K,30,0.9,10,29.0%,73.0%,10.8%,62.2%,0.6790,0.6354,0.4642,0.1721,0.3142,0.1825,51.6%
HotRank,普遍好评,positive_bias,suppression,Gamma,0.5,0.1,10,29.0%,73.0%,48.0%,25.0%,0.6790,0.6354,0.5025,0.1721,0.3142,0.2841,41.0%
HotRank,普遍好评,positive_bias,suppression,Gamma,0.5,0.2,10,29.0%,73.0%,24.8%,48.2%,0.6790,0.6354,0.4998,0.1721,0.3142,0.2180,46.8%
HotRank,普遍好评,positive_bias,suppression,Gamma,0.5,0.3,10,29.0%,73.0%,18.8%,54.2%,0.6790,0.6354,0.5043,0.1721,0.3142,0.1951,51.9%
HotRank,普遍好评,positive_bias,suppression,Gamma,0.5,0.4,10,29.0%,73.0%,16.4%,56.6%,0.6790,0.6354,0.5166,0.1721,0.3142,0.1757,54.9%
HotRank,普遍好评,positive_bias,suppression,Gamma,0.5,0.5,10,29.0%,73.0%,15.2%,57.8%,0.6790,0.6354,0.5264,0.1721,0.3142,0.1675,57.7%
HotRank,普遍好评,positive_bias,suppression,Gamma,0.5,0.6,10,29.0%,73.0%,13.8%,59.2%,0.6790,0.6354,0.5290,0.1721,0.3142,0.1606,60.6%
HotRank,普遍好评,positive_bias,suppression,Gamma,0.5,0.7,10,29.0%,73.0%,10.8%,62.2%,0.6790,0.6354,0.5295,0.1721,0.3142,0.1473,63.9%
HotRank,普遍好评,positive_bias,suppression,Gamma,0.5,0.8,10,29.0%,73.0%,8.4%,64.6%,0.6790,0.6354,0.5255,0.1721,0.3142,0.1337,66.4%
HotRank,普遍好评,positive_bias,suppression,Gamma,0.5,0.9,10,29.0%,73.0%,9.6%,63.4%,0.6790,0.6354,0.5282,0.1721,0.3142,0.1321,66.5%
HotRank,普遍好评,positive_bias,suppression,Gamma,1.0,0.1,10,29.0%,73.0%,36.4%,36.6%,0.6790,0.6354,0.5007,0.1721,0.3142,0.2573,42.5%
HotRank,普遍好评,positive_bias,suppression,Gamma,1.0,0.2,10,29.0%,73.0%,19.0%,54.0%,0.6790,0.6354,0.5182,0.1721,0.3142,0.1972,50.1%
HotRank,普遍好评,positive_bias,suppression,Gamma,1.0,0.3,10,29.0%,73.0%,18.8%,54.2%,0.6790,0.6354,0.5370,0.1721,0.3142,0.1855,53.1%
HotRank,普遍好评,positive_bias,suppression,Gamma,1.0,0.4,10,29.0%,73.0%,17.0%,56.0%,0.6790,0.6354,0.5353,0.1721,0.3142,0.1765,56.5%
HotRank,普遍好评,positive_bias,suppression,Gamma,1.0,0.5,10,29.0%,73.0%,15.2%,57.8%,0.6790,0.6354,0.5360,0.1721,0.3142,0.1600,60.1%
HotRank,普遍好评,positive_bias,suppression,Gamma,1.0,0.6,10,29.0%,73.0%,12.2%,60.8%,0.6790,0.6354,0.5348,0.1721,0.3142,0.1480,63.2%
HotRank,普遍好评,positive_bias,suppression,Gamma,1.0,0.7,10,29.0%,73.0%,9.8%,63.2%,0.6790,0.6354,0.5288,0.1721,0.3142,0.1336,66.0%
HotRank,普遍好评,positive_bias,suppression,Gamma,1.0,0.8,10,29.0%,73.0%,8.0%,65.0%,0.6790,0.6354,0.5300,0.1721,0.3142,0.1327,66.6%
HotRank,普遍好评,positive_bias,suppression,Gamma,1.0,0.9,10,29.0%,73.0%,8.8%,64.2%,0.6790,0.6354,0.5311,0.1721,0.3142,0.1350,66.1%
HotRank,普遍好评,positive_bias,suppression,Gamma,2.0,0.1,10,29.0%,73.0%,36.8%,36.2%,0.6790,0.6354,0.5345,0.1721,0.3142,0.2534,42.9%
HotRank,普遍好评,positive_bias,suppression,Gamma,2.0,0.2,10,29.0%,73.0%,24.0%,49.0%,0.6790,0.6354,0.5432,0.1721,0.3142,0.2093,49.1%
HotRank,普遍好评,positive_bias,suppression,Gamma,2.0,0.3,10,29.0%,73.0%,21.2%,51.8%,0.6790,0.6354,0.5493,0.1721,0.3142,0.1946,52.3%
HotRank,普遍好评,positive_bias,suppression,Gamma,2.0,0.4,10,29.0%,73.0%,18.6%,54.4%,0.6790,0.6354,0.5441,0.1721,0.3142,0.1828,56.0%
HotRank,普遍好评,positive_bias,suppression,Gamma,2.0,0.5,10,29.0%,73.0%,16.4%,56.6%,0.6790,0.6354,0.5497,0.1721,0.3142,0.1683,60.1%
HotRank,普遍好评,positive_bias,suppression,Gamma,2.0,0.6,10,29.0%,73.0%,13.0%,60.0%,0.6790,0.6354,0.5417,0.1721,0.3142,0.1508,62.8%
HotRank,普遍好评,positive_bias,suppression,Gamma,2.0,0.7,10,29.0%,73.0%,11.8%,61.2%,0.6790,0.6354,0.5381,0.1721,0.3142,0.1468,63.5%
HotRank,普遍好评,positive_bias,suppression,Gamma,2.0,0.8,10,29.0%,73.0%,8.8%,64.2%,0.6790,0.6354,0.5274,0.1721,0.3142,0.1364,65.4%
HotRank,普遍好评,positive_bias,suppression,Gamma,2.0,0.9,10,29.0%,73.0%,9.0%,64.0%,0.6790,0.6354,0.5300,0.1721,0.3142,0.1322,66.4%
HotRank,普遍差评,negative_bias,scarcity,K,10,0.1,10,27.0%,73.2%,58.4%,14.8%,0.3428,0.2495,0.2727,0.1761,0.2205,0.2050,41.1%
HotRank,普遍差评,negative_bias,scarcity,K,10,0.2,10,27.0%,73.2%,46.8%,26.4%,0.3428,0.2495,0.2705,0.1761,0.2205,0.1761,46.2%
HotRank,普遍差评,negative_bias,scarcity,K,10,0.3,10,27.0%,73.2%,41.4%,31.8%,0.3428,0.2495,0.2827,0.1761,0.2205,0.1724,47.1%
HotRank,普遍差评,negative_bias,scarcity,K,10,0.4,10,27.0%,73.2%,30.6%,42.6%,0.3428,0.2495,0.2962,0.1761,0.2205,0.1496,50.6%
HotRank,普遍差评,negative_bias,scarcity,K,10,0.5,10,27.0%,73.2%,22.2%,51.0%,0.3428,0.2495,0.3219,0.1761,0.2205,0.1530,51.2%
HotRank,普遍差评,negative_bias,scarcity,K,10,0.6,10,27.0%,73.2%,13.2%,60.0%,0.3428,0.2495,0.3557,0.1761,0.2205,0.1454,53.1%
HotRank,普遍差评,negative_bias,scarcity,K,10,0.7,10,27.0%,73.2%,10.8%,62.4%,0.3428,0.2495,0.3797,0.1761,0.2205,0.1447,54.0%
HotRank,普遍差评,negative_bias,scarcity,K,10,0.8,10,27.0%,73.2%,8.6%,64.6%,0.3428,0.2495,0.3956,0.1761,0.2205,0.1365,54.2%
HotRank,普遍差评,negative_bias,scarcity,K,10,0.9,10,27.0%,73.2%,9.0%,64.2%,0.3428,0.2495,0.4249,0.1761,0.2205,0.1476,54.2%
HotRank,普遍差评,negative_bias,scarcity,K,20,0.1,10,27.0%,73.2%,60.2%,13.0%,0.3428,0.2495,0.2825,0.1761,0.2205,0.2148,38.4%
HotRank,普遍差评,negative_bias,scarcity,K,20,0.2,10,27.0%,73.2%,49.4%,23.8%,0.3428,0.2495,0.2831,0.1761,0.2205,0.1976,42.2%
HotRank,普遍差评,negative_bias,scarcity,K,20,0.3,10,27.0%,73.2%,45.2%,28.0%,0.3428,0.2495,0.2685,0.1761,0.2205,0.1580,46.9%
HotRank,普遍差评,negative_bias,scarcity,K,20,0.4,10,27.0%,73.2%,39.0%,34.2%,0.3428,0.2495,0.2801,0.1761,0.2205,0.1547,48.8%
HotRank,普遍差评,negative_bias,scarcity,K,20,0.5,10,27.0%,73.2%,28.4%,44.8%,0.3428,0.2495,0.3166,0.1761,0.2205,0.1604,48.9%
HotRank,普遍差评,negative_bias,scarcity,K,20,0.6,10,27.0%,73.2%,22.4%,50.8%,0.3428,0.2495,0.3248,0.1761,0.2205,0.1529,50.2%
HotRank,普遍差评,negative_bias,scarcity,K,20,0.7,10,27.0%,73.2%,15.4%,57.8%,0.3428,0.2495,0.3482,0.1761,0.2205,0.1454,51.1%
HotRank,普遍差评,negative_bias,scarcity,K,20,0.8,10,27.0%,73.2%,13.4%,59.8%,0.3428,0.2495,0.3692,0.1761,0.2205,0.1498,51.8%
HotRank,普遍差评,negative_bias,scarcity,K,20,0.9,10,27.0%,73.2%,14.2%,59.0%,0.3428,0.2495,0.3748,0.1761,0.2205,0.1550,50.7%
HotRank,普遍差评,negative_bias,scarcity,K,30,0.1,10,27.0%,73.2%,65.8%,7.4%,0.3428,0.2495,0.2760,0.1761,0.2205,0.2277,36.5%
HotRank,普遍差评,negative_bias,scarcity,K,30,0.2,10,27.0%,73.2%,56.2%,17.0%,0.3428,0.2495,0.2810,0.1761,0.2205,0.2100,38.9%
HotRank,普遍差评,negative_bias,scarcity,K,30,0.3,10,27.0%,73.2%,48.0%,25.2%,0.3428,0.2495,0.2840,0.1761,0.2205,0.1940,42.4%
HotRank,普遍差评,negative_bias,scarcity,K,30,0.4,10,27.0%,73.2%,41.8%,31.4%,0.3428,0.2495,0.2907,0.1761,0.2205,0.1842,44.5%
HotRank,普遍差评,negative_bias,scarcity,K,30,0.5,10,27.0%,73.2%,36.4%,36.8%,0.3428,0.2495,0.2820,0.1761,0.2205,0.1544,47.0%
HotRank,普遍差评,negative_bias,scarcity,K,30,0.6,10,27.0%,73.2%,30.8%,42.4%,0.3428,0.2495,0.2971,0.1761,0.2205,0.1502,48.2%
HotRank,普遍差评,negative_bias,scarcity,K,30,0.7,10,27.0%,73.2%,26.6%,46.6%,0.3428,0.2495,0.3145,0.1761,0.2205,0.1563,50.0%
HotRank,普遍差评,negative_bias,scarcity,K,30,0.8,10,27.0%,73.2%,21.2%,52.0%,0.3428,0.2495,0.3302,0.1761,0.2205,0.1550,50.7%
HotRank,普遍差评,negative_bias,scarcity,K,30,0.9,10,27.0%,73.2%,12.2%,61.0%,0.3428,0.2495,0.3770,0.1761,0.2205,0.1427,53.6%
HotRank,普遍差评,negative_bias,suppression,Gamma,0.5,0.1,10,27.0%,73.2%,41.6%,31.6%,0.3428,0.2495,0.2948,0.1761,0.2205,0.1790,43.1%
HotRank,普遍差评,negative_bias,suppression,Gamma,0.5,0.2,10,27.0%,73.2%,20.6%,52.6%,0.3428,0.2495,0.3645,0.1761,0.2205,0.1583,48.8%
HotRank,普遍差评,negative_bias,suppression,Gamma,0.5,0.3,10,27.0%,73.2%,13.8%,59.4%,0.3428,0.2495,0.3891,0.1761,0.2205,0.1440,54.5%
HotRank,普遍差评,negative_bias,suppression,Gamma,0.5,0.4,10,27.0%,73.2%,9.4%,63.8%,0.3428,0.2495,0.4114,0.1761,0.2205,0.1260,58.8%
HotRank,普遍差评,negative_bias,suppression,Gamma,0.5,0.5,10,27.0%,73.2%,8.8%,64.4%,0.3428,0.2495,0.4209,0.1761,0.2205,0.1240,62.0%
HotRank,普遍差评,negative_bias,suppression,Gamma,0.5,0.6,10,27.0%,73.2%,8.0%,65.2%,0.3428,0.2495,0.4333,0.1761,0.2205,0.1177,65.6%
HotRank,普遍差评,negative_bias,suppression,Gamma,0.5,0.7,10,27.0%,73.2%,6.6%,66.6%,0.3428,0.2495,0.4375,0.1761,0.2205,0.1102,68.8%
HotRank,普遍差评,negative_bias,suppression,Gamma,0.5,0.8,10,27.0%,73.2%,5.8%,67.4%,0.3428,0.2495,0.4407,0.1761,0.2205,0.1057,70.2%
HotRank,普遍差评,negative_bias,suppression,Gamma,0.5,0.9,10,27.0%,73.2%,5.2%,68.0%,0.3428,0.2495,0.4437,0.1761,0.2205,0.1043,70.5%
HotRank,普遍差评,negative_bias,suppression,Gamma,1.0,0.1,10,27.0%,73.2%,33.8%,39.4%,0.3428,0.2495,0.3270,0.1761,0.2205,0.1804,43.9%
HotRank,普遍差评,negative_bias,suppression,Gamma,1.0,0.2,10,27.0%,73.2%,14.6%,58.6%,0.3428,0.2495,0.3924,0.1761,0.2205,0.1505,52.4%
HotRank,普遍差评,negative_bias,suppression,Gamma,1.0,0.3,10,27.0%,73.2%,11.4%,61.8%,0.3428,0.2495,0.4109,0.1761,0.2205,0.1310,57.4%
HotRank,普遍差评,negative_bias,suppression,Gamma,1.0,0.4,10,27.0%,73.2%,10.2%,63.0%,0.3428,0.2495,0.4168,0.1761,0.2205,0.1267,61.0%
HotRank,普遍差评,negative_bias,suppression,Gamma,1.0,0.5,10,27.0%,73.2%,7.8%,65.4%,0.3428,0.2495,0.4301,0.1761,0.2205,0.1188,64.9%
HotRank,普遍差评,negative_bias,suppression,Gamma,1.0,0.6,10,27.0%,73.2%,6.8%,66.4%,0.3428,0.2495,0.4383,0.1761,0.2205,0.1107,68.1%
HotRank,普遍差评,negative_bias,suppression,Gamma,1.0,0.7,10,27.0%,73.2%,5.8%,67.4%,0.3428,0.2495,0.4428,0.1761,0.2205,0.1058,69.6%
HotRank,普遍差评,negative_bias,suppression,Gamma,1.0,0.8,10,27.0%,73.2%,5.8%,67.4%,0.3428,0.2495,0.4451,0.1761,0.2205,0.1050,70.3%
HotRank,普遍差评,negative_bias,suppression,Gamma,1.0,0.9,10,27.0%,73.2%,6.8%,66.4%,0.3428,0.2495,0.4362,0.1761,0.2205,0.1089,70.2%
HotRank,普遍差评,negative_bias,suppression,Gamma,2.0,0.1,10,27.0%,73.2%,31.2%,42.0%,0.3428,0.2495,0.3563,0.1761,0.2205,0.1855,44.1%
HotRank,普遍差评,negative_bias,suppression,Gamma,2.0,0.2,10,27.0%,73.2%,16.2%,57.0%,0.3428,0.2495,0.3868,0.1761,0.2205,0.1481,52.6%
HotRank,普遍差评,negative_bias,suppression,Gamma,2.0,0.3,10,27.0%,73.2%,13.2%,60.0%,0.3428,0.2495,0.4078,0.1761,0.2205,0.1410,57.0%
HotRank,普遍差评,negative_bias,suppression,Gamma,2.0,0.4,10,27.0%,73.2%,10.2%,63.0%,0.3428,0.2495,0.4190,0.1761,0.2205,0.1303,61.2%
HotRank,普遍差评,negative_bias,suppression,Gamma,2.0,0.5,10,27.0%,73.2%,9.4%,63.8%,0.3428,0.2495,0.4338,0.1761,0.2205,0.1234,65.6%
HotRank,普遍差评,negative_bias,suppression,Gamma,2.0,0.6,10,27.0%,73.2%,8.6%,64.6%,0.3428,0.2495,0.4358,0.1761,0.2205,0.1187,66.8%
HotRank,普遍差评,negative_bias,suppression,Gamma,2.0,0.7,10,27.0%,73.2%,7.0%,66.2%,0.3428,0.2495,0.4376,0.1761,0.2205,0.1110,68.6%
HotRank,普遍差评,negative_bias,suppression,Gamma,2.0,0.8,10,27.0%,73.2%,6.2%,67.0%,0.3428,0.2495,0.4392,0.1761,0.2205,0.1071,70.2%
HotRank,普遍差评,negative_bias,suppression,Gamma,2.0,0.9,10,27.0%,73.2%,6.4%,66.8%,0.3428,0.2495,0.4396,0.1761,0.2205,0.1066,70.2%
HotRank,理性讨论(钟型),consensus,scarcity,K,10,0.1,10,18.4%,70.0%,57.2%,12.8%,0.5173,0.4494,0.4102,0.2195,0.3301,0.2894,39.0%
HotRank,理性讨论(钟型),consensus,scarcity,K,10,0.2,10,18.4%,70.0%,46.6%,23.4%,0.5173,0.4494,0.3942,0.2195,0.3301,0.2612,43.2%
HotRank,理性讨论(钟型),consensus,scarcity,K,10,0.3,10,18.4%,70.0%,42.6%,27.4%,0.5173,0.4494,0.3613,0.2195,0.3301,0.2383,44.8%
HotRank,理性讨论(钟型),consensus,scarcity,K,10,0.4,10,18.4%,70.0%,26.4%,43.6%,0.5173,0.4494,0.3713,0.2195,0.3301,0.1989,48.9%
HotRank,理性讨论(钟型),consensus,scarcity,K,10,0.5,10,18.4%,70.0%,20.2%,49.8%,0.5173,0.4494,0.3815,0.2195,0.3301,0.1912,49.7%
HotRank,理性讨论(钟型),consensus,scarcity,K,10,0.6,10,18.4%,70.0%,10.4%,59.6%,0.5173,0.4494,0.3930,0.2195,0.3301,0.1629,52.2%
HotRank,理性讨论(钟型),consensus,scarcity,K,10,0.7,10,18.4%,70.0%,7.4%,62.6%,0.5173,0.4494,0.4275,0.2195,0.3301,0.1567,53.4%
HotRank,理性讨论(钟型),consensus,scarcity,K,10,0.8,10,18.4%,70.0%,5.0%,65.0%,0.5173,0.4494,0.4421,0.2195,0.3301,0.1484,54.1%
HotRank,理性讨论(钟型),consensus,scarcity,K,10,0.9,10,18.4%,70.0%,4.4%,65.6%,0.5173,0.4494,0.4667,0.2195,0.3301,0.1438,54.5%
HotRank,理性讨论(钟型),consensus,scarcity,K,20,0.1,10,18.4%,70.0%,58.4%,11.6%,0.5173,0.4494,0.4176,0.2195,0.3301,0.2896,38.1%
HotRank,理性讨论(钟型),consensus,scarcity,K,20,0.2,10,18.4%,70.0%,50.4%,19.6%,0.5173,0.4494,0.3987,0.2195,0.3301,0.2697,40.4%
HotRank,理性讨论(钟型),consensus,scarcity,K,20,0.3,10,18.4%,70.0%,42.0%,28.0%,0.5173,0.4494,0.3696,0.2195,0.3301,0.2378,44.2%
HotRank,理性讨论(钟型),consensus,scarcity,K,20,0.4,10,18.4%,70.0%,38.2%,31.8%,0.5173,0.4494,0.3700,0.2195,0.3301,0.2274,46.2%
HotRank,理性讨论(钟型),consensus,scarcity,K,20,0.5,10,18.4%,70.0%,25.8%,44.2%,0.5173,0.4494,0.3917,0.2195,0.3301,0.2103,47.6%
HotRank,理性讨论(钟型),consensus,scarcity,K,20,0.6,10,18.4%,70.0%,21.2%,48.8%,0.5173,0.4494,0.3828,0.2195,0.3301,0.1898,48.7%
HotRank,理性讨论(钟型),consensus,scarcity,K,20,0.7,10,18.4%,70.0%,14.0%,56.0%,0.5173,0.4494,0.4033,0.2195,0.3301,0.1759,50.1%
HotRank,理性讨论(钟型),consensus,scarcity,K,20,0.8,10,18.4%,70.0%,10.4%,59.6%,0.5173,0.4494,0.4195,0.2195,0.3301,0.1655,51.1%
HotRank,理性讨论(钟型),consensus,scarcity,K,20,0.9,10,18.4%,70.0%,11.0%,59.0%,0.5173,0.4494,0.4191,0.2195,0.3301,0.1710,50.2%
HotRank,理性讨论(钟型),consensus,scarcity,K,30,0.1,10,18.4%,70.0%,62.6%,7.4%,0.5173,0.4494,0.4462,0.2195,0.3301,0.3075,37.3%
HotRank,理性讨论(钟型),consensus,scarcity,K,30,0.2,10,18.4%,70.0%,57.0%,13.0%,0.5173,0.4494,0.4234,0.2195,0.3301,0.2887,38.5%
HotRank,理性讨论(钟型),consensus,scarcity,K,30,0.3,10,18.4%,70.0%,48.0%,22.0%,0.5173,0.4494,0.4030,0.2195,0.3301,0.2656,40.5%
HotRank,理性讨论(钟型),consensus,scarcity,K,30,0.4,10,18.4%,70.0%,45.2%,24.8%,0.5173,0.4494,0.4057,0.2195,0.3301,0.2613,42.2%
HotRank,理性讨论(钟型),consensus,scarcity,K,30,0.5,10,18.4%,70.0%,37.8%,32.2%,0.5173,0.4494,0.3731,0.2195,0.3301,0.2305,45.2%
HotRank,理性讨论(钟型),consensus,scarcity,K,30,0.6,10,18.4%,70.0%,33.0%,37.0%,0.5173,0.4494,0.3726,0.2195,0.3301,0.2162,46.2%
HotRank,理性讨论(钟型),consensus,scarcity,K,30,0.7,10,18.4%,70.0%,24.6%,45.4%,0.5173,0.4494,0.3801,0.2195,0.3301,0.1987,48.4%
HotRank,理性讨论(钟型),consensus,scarcity,K,30,0.8,10,18.4%,70.0%,19.0%,51.0%,0.5173,0.4494,0.3894,0.2195,0.3301,0.1885,49.7%
HotRank,理性讨论(钟型),consensus,scarcity,K,30,0.9,10,18.4%,70.0%,10.4%,59.6%,0.5173,0.4494,0.4178,0.2195,0.3301,0.1653,53.2%
HotRank,理性讨论(钟型),consensus,suppression,Gamma,0.5,0.1,10,18.4%,70.0%,42.4%,27.6%,0.5173,0.4494,0.3930,0.2195,0.3301,0.2498,42.3%
HotRank,理性讨论(钟型),consensus,suppression,Gamma,0.5,0.2,10,18.4%,70.0%,21.4%,48.6%,0.5173,0.4494,0.4268,0.2195,0.3301,0.1951,48.3%
HotRank,理性讨论(钟型),consensus,suppression,Gamma,0.5,0.3,10,18.4%,70.0%,15.0%,55.0%,0.5173,0.4494,0.4376,0.2195,0.3301,0.1707,54.2%
HotRank,理性讨论(钟型),consensus,suppression,Gamma,0.5,0.4,10,18.4%,70.0%,11.6%,58.4%,0.5173,0.4494,0.4578,0.2195,0.3301,0.1544,57.8%
